Date,Accomodation,Huawei?,Location,Level,Type,Description,Comments,Date Done,Maintenance-Time(h)
6/19/21,,,347,Medium,plumbing,WC hose leaking      ,,6/19/21,0.5
6/20/21,,,302,high,PPM,everything but flushing AC coil,,6/20/21,5.5
6/20/21,,,304,high,PPM,everything but flushing AC coil,,6/20/21,4.5
6/20/21,,,222,Medium,mechanical,Bathroom door hinge was broken,,6/20/21,4.5
6/20/21,,,246,Medium,AC,"thermostat was not responding, card issue ",,6/20/21,1
6/20/21,,,136,Medium,General,TV controller not responding ,battery needed changing,6/20/21,0.2
6/20/21,,,124,Medium,AC,actuator was removed ,,6/20/21,1.5
6/21/21,,,Kitchen,high,AC,refrigerator F7 is not working,problem with outdoor fan,6/21/21,3.5
6/21/21,,y,353,Medium,electrical,installing bedside lamp,,6/21/21,3
6/21/21,,,306,high,PPM,everything but flushing AC coil,,6/21/21,5
6/21/21,,,307,high,PPM,everything but flushing AC coil,,6/21/21,5.5
6/21/21,,y,260,Medium,plumbing,WC hose leaking      ,,6/21/21,6
6/21/21,,,3rd floor,Medium,electrical,changing 3 spotlights of corridor ,,6/21/21,0.5
6/21/21,,,Dubliner,Medium,electrical,socket not working,,6/21/21,0.5
6/21/21,,,Kitchen,Medium,electrical,freezer light not working ,,6/21/21,0.2
6/21/21,,,221,Medium,General,TV setup box issue,"Setup box gets heated, needs time before it can be used again ",6/21/21,1
6/21/21,,,131,Medium,General,TV setup box issue,"Setup box gets heated, needs time before it can be used again ",6/21/21,1.3
6/22/21,,,340,Medium,General,safety box doesn’t work,changed safety box,6/22/21,1
6/22/21,,,125,Medium,General,"TV isnot working, problem with wiring",,6/22/21,0.5
6/22/21,,,231,Medium,RMS,Card holder not reponding ,Changing card holder,6/22/21,0.3
6/22/21,,,245,Medium,electrical,standing lamp not working,,6/22/21,1
6/22/21,,,SPA,Medium,AC,filter not clean,,6/22/21,0.7
6/22/21,,,152,high,PPM,everything but flushing AC coil,,6/22/21,5
6/22/21,,,Security Office ,Medium,General,air goes inside the office which causes AC issues,Installing Nylon covers ,6/22/21,1.5
6/22/21,,y,256,Medium,AC,Window was open ,,6/22/21,0.2
6/23/21,,y,256,Medium,electrical,Ceiling lights and plug not working,,6/23/21,0.5
6/23/21,,,Roof,high,PPM,Installing bag filters to all AHUs,,6/23/21,2
6/23/21,,,241,high,PPM,everything but flushing AC coil,,6/23/21,5.5
6/23/21,,,242,high,PPM,everything but flushing AC coil,,6/23/21,6
6/23/21,,,Spa,Medium,Civil,Female bathroom ceiling in bad condition,,6/23/21,4
6/23/21,,,125,Medium,General,"TV isnot working, problem with wiring",,6/23/21,0.6
6/24/21,y,,All floors  ,high,electrical,Ficing all electrical problem,,6/24/21,3.5
6/24/21,y,,All floors  ,high,Plumbing ,Fixing all plumbing  issues in the bathrooms and toilets ,,6/24/21,4
6/24/21,,y,G,high,mechanical,Main door connecting Huawei to new area was not opening ,,6/24/21,1.6
6/24/21,y,,410,Medium,AC,Problem in the chip ,,6/24/21,2
6/24/21,y,,510,Medium,AC,Issue with outdoor unit contractor ,,6/24/21,2.5
6/24/21,,,151,Medium,RMS,Card holder not reponding ,"After cleaning the card hoder, it started responding",6/24/21,0.3
6/24/21,,,Kitchen,Medium,electrical,2 lights not working ,,6/24/21,0.4
6/24/21,,,252,Medium,AC,filter not clean,,6/24/21,0.5
6/24/21,,,130,Medium,AC,Thermostat loose wiring ,,6/24/21,0.3
6/24/21,,,301,Medium,AC,Thermostat not responding,Needed cleaning,6/24/21,0.3
6/24/21,,,225,Medium,AC,Thermostat not responding,Needed cleaning,6/24/21,0.3
6/25/21,,,SPA,Medium,electrical,6 lights in Turkish bath does not work ,,6/25/21,1
6/25/21,,y,256,Medium,Carpentry,door stoper issue ,,6/25/21,0.5
6/25/21,,,306,Medium,General,TV setup box issue,,6/25/21,1.2
6/25/21,,,122,Medium,General,"tv was not working,electrical problem",,6/25/21,0.5
6/25/21,,,301,Medium,General,bad smell in the room ,,6/25/21,1
6/26/21,,y,255,high,Civil,Full paint of the room,,6/26/21,3
6/26/21,,,315,Medium,AC,filter not clean,,6/26/21,0.6
6/26/21,,,129,Medium,electrical,socket not working,,6/26/21,0.5
6/26/21,,,Dubliner Garden,high,electrical,Putting light all over the trees ,,6/26/21,4
6/26/21,,,139,Medium,electrical,changing bedside light,,6/26/21,0.3
6/26/21,,,139,Medium,Carpentry,wardrope not sliding ,changing the whole sliding system ,6/26/21,2
6/26/21,,,144,Medium,Carpentry,main door of the room was noisy ,,6/26/21,0.4
6/26/21,,y,Huawei main door ,Medium,electrical,sliding door was faulty ,needed a restart ,6/26/21,0.2
6/26/21,,,127,Medium,AC,filter not clean ,,6/26/21,1
6/26/21,,,121,Medium,General,"TV isnot working, problem with wiring",Internet cable disconnected ,6/26/21,0.8
6/26/21,,,231,Medium,AC,filter not clean ,,6/26/21,1
6/27/21,,y,257,Medium,electrical,lights not working,,6/27/21,0.5
6/27/21,,,Lobby garden ,high,General,Putting light all over the trees ,,6/27/21,7
6/27/21,,y,Huawei restaurant ,Medium,plumbing,WC hose leaking      ,,6/27/21,0.5
6/27/21,,,Lobby entrance ,Medium,electrical,changing 4 garden standing lights ,,6/27/21,2
6/27/21,y,,201,Medium,AC,gas issue and dirty filter ,,6/27/21,2.5
6/27/21,y,,406,Medium,AC,Did not know how to operate TV ,,6/27/21,0.3
6/27/21,,,323,Medium,AC,Actuator was not fully in place ,,6/27/21,1
6/28/21,,,345,high,PPM,everything but flushing AC coil,,6/28/21,4.5
6/28/21,,,348,high,PPM,everything but flushing AC coil,,6/28/21,5
6/28/21,,Y,157,Medium,AC,Thermostat not responding,Needed cleaning,6/28/21,0.3
6/28/21,,,259,Medium,plumbing ,WC hose leaking      ,,6/28/21,0.5
6/28/21,,y,156,Medium,electrical,lights not working,,6/28/21,0.5
6/28/21,,,345,Medium,General,"TV isnot working, problem with wiring",,6/28/21,0.4
6/28/21,,,148,Medium,General,"TV isnot working, problem with wiring",,6/28/21,0.6
6/28/21,,y,156,Medium,plumbing,Toilet was blocked ,,6/28/21,1
6/28/21,,,Restaurant,Medium,General,Hand sanitizer needed change of battery ,,6/28/21,0.3
6/29/21,,,SPA,high,Plumbing ,"drain near pool bar was throwing water out when used, main line of waste water was blocked ",,6/29/21,2
6/29/21,,,245,high,PPM,everything but flushing AC coil,,6/29/21,5
6/29/21,,,Near staff cafeteria,high,Civil,"approximately in 14 m length, all the ceiling, gypsum board and plastic boards combined collapsed ",This happened because water leaked from the waste water line ,7/3/21,16
6/29/21,,,345,Medium,General,"TV isnot working, problem with wiring",,6/29/21,0.5
6/29/21,,,331,Medium,AC,filter not clean ,,6/29/21,0.7
6/30/21,,,121,Medium,carpentry,Broken bed ,,6/30/21,3.5
6/30/21,,,147,Medium,AC,Did not know how to operate AC,,6/30/21,0.3
6/30/21,,,138,Medium,Civil,WC roof was dirty ,,7/1/21,1
6/30/21,,,248,Medium,plumbing,"Shower collapsed, needed reinstalling ",,6/30/21,1
6/30/21,y,,105,Medium,AC,Drain pipe blocked ,,6/30/21,1
6/30/21,y,,101,Medium,AC,Drain pipe blocked ,,6/30/21,1.5
6/30/21,y,,G-cafeteria ,Medium,AC,Drain pipe blocked ,,6/30/21,1
6/30/21,y,,406,Medium,AC,Chip issue,,6/30/21,2
6/30/21,,,247,high,PPM,everything but flushing AC coil,,6/30/21,4.5
6/30/21,,,301,Medium,General,"TV isnot working, problem with wiring",,6/30/21,0.5
6/30/21,,,315,Medium,General,"TV isnot working, problem with wiring",,6/30/21,0.6
6/30/21,,,246,Medium,plumbing,wash basin drain is blocked ,,6/30/21,1.5
6/30/21,,,233,Medium,RMS,Bell would not stop working,,6/30/21,1
7/1/21,,y,160,Medium,RMS,RMS's relay would not give electricity to actuator ,,7/1/21,1.5
7/1/21,,,123,Medium,General,TV setup box issue ,,7/1/21,1.5
7/1/21,,,Basement- Staff WC,Medium,Carpentry,changing door lock,,7/1/21,1
7/1/21,,,324,Medium,AC,Actuator was not fully in place ,actuator needed tightening ,7/1/21,1
7/2/21,,,324,Medium,electrical,standing lamp not working,,7/2/21,1
7/2/21,,,314,Medium,AC,thermostat not responding,thermostat needed cleaning,7/2/21,0.3
7/2/21,,,307,Medium,AC,actuator was not fully in place ,,7/2/21,1
7/2/21,,,313,Medium,AC,window was open, ,7/2/21,0.2
7/2/21,,,345,Medium,AC,TV setup box issue ,"Setup box gets heated, needs time before it can be used again ",7/2/21,1.5
7/2/21,,,311,Medium,General,TV setup box issue ,"Setup box gets heated, needs time before it can be used again ",7/2/21,1
7/2/21,,,345,Medium,General,"TV isnot working, problem with wiring",,7/2/21,0.5
7/2/21,,,Kitchen,Medium,AC,F3 refrigerator not cooling ,,7/4/21,3
7/3/21,,y,160,Medium,Civil,Full paint of the room,,7/3/21,3.5
7/3/21,,,Dubliner,Medium,electrical,lights not working,,7/3/21,1
7/3/21,,,303,Medium,RMS,door would not open,changing card reader ,7/3/21,0.5
7/3/21,,,303,Medium,General,"TV isnot working, problem with wiring",,7/3/21,0.5
7/4/21,,,249,high,PPM,everything but flushing AC coil,,7/4/21,5
7/4/21,,,127,Medium,General,"TV isnot working, problem with wiring",,7/4/21,0.6
7/4/21,,,302,Medium,plumbing,wash basin drain is blocked ,,7/4/21,1.5
7/4/21,,,302,Medium,Carpentry,wardrope not sliding ,changing the whole sliding system ,7/6/21,2
7/4/21,,,145,Medium,General,safety box doesn’t work,changing the battery ,7/4/21,0.2
7/4/21,,,307,Medium,AC,thermostat not responding,Needed cleaning,7/4/21,0.2
7/4/21,,,SPA,Medium,General,male side locker was not working ,battery needed changing,7/4/21,0.3
7/4/21,,,126,Medium,electrical,changing gang switch ,,7/4/21,0.4
7/4/21,,y,Fire exit area,Medium,mechanical,welding the back door ,,7/7/21,2
7/4/21,y,,406,Medium,AC,Outdoor fan needed changing ,,7/4/21,2
7/4/21,,,402,Medium,AC,Conductor issue in outdoor unit ,conductor was changed ,7/5/21,1.5
7/5/21,,,346,high,PPM,everything but flushing AC coil,,7/5/21,5
7/5/21,,,248,Medium,AC,Thermostat not responding,,7/5/21,0.3
7/5/21,y,,3rd floor,Medium,plumbing,WC hose leaking      ,,7/5/21,0.6
7/5/21,y,,518,Medium,AC,Problem in the chip ,,7/8/21,1.5
7/5/21,,,235,Medium,AC,filter not clean,,7/5/21,0.6
7/5/21,,,SPA male bathroom,Medium,Civil,"the roof is dirty, ,mirror needs silicone, drain needs putty",,7/7/21,2
7/5/21,,,304,Medium,General,remote controller of tv needed changing of battery ,,7/5/21,0.2
7/6/21,,,315,Medium,AC,Thermostat not responding,,7/6/21,0.3
7/6/21,,,313,high,PPM,everything but flushing AC coil,,7/6/21,5.5
7/6/21,,y,155,Medium,AC,Thermostat not responding,thermostat needed cleaning,7/6/21,0.2
7/6/21,,y,160,Medium,AC,Thermostat not responding,thermostat needed cleaning,7/6/21,0.2
7/6/21,,,131,Medium,General,"TV isnot working, problem with wiring",,7/6/21,0.6
7/6/21,,,225,Medium,AC,Did not know how to operate TV ,,7/6/21,0.2
7/6/21,,,126,Medium,General,"TV isnot working, problem with wiring",,7/6/21,0.6
7/7/21,,,338,high,PPM,everything but flushing AC coil,,7/7/21,5.5
7/7/21,,,350,high,PPM,everything but flushing AC coil,,7/7/21,6
7/7/21,,,351,high,PPM,everything but flushing AC coil,,7/7/21,5
7/7/21,,Y,Huawie entrance ,Medium,electrical,entrance sliding door is not working ,,7/7/21,0.3
7/7/21,,,232,Medium,mechanical,"Shower collapsed, needed reinstalling ",,7/7/21,1.5
7/7/21,,,335,Medium,General,TV setup box issue,,7/7/21,1.5
7/7/21,,,323,Medium,electrical,breaker has tripped,,7/7/21,0.2
7/7/21,,,222,Medium,AC,filters not clean ,,7/7/21,0.8
7/8/21,,,245,Medium,electrical,changing ceiling lights ,,7/8/21,0.5
7/8/21,,y,357,Medium,plumbing,there is leak in the ceiling ,,7/8/21,1
7/8/21,,,Lobby,Medium,electrical,lobby had fussed lights ,,7/8/21,1
7/8/21,,,Room Service  ,Medium,electrical,the place was not lit,,7/8/21,2
7/8/21,,,321,Medium,RMS,there is no electricity in the room,,7/8/21,0.5
7/8/21,,,323,Medium,carpentry,wardrope not sliding ,,7/8/21,2
7/8/21,,,225,Medium,electrical,shaving mirror light was not working ,,7/8/21,0.5
7/8/21,,,327,Medium,General,TV setup box issue ,,7/8/21,1
7/8/21,,,335,Medium,General,TV setup box issue ,,7/8/21,1.5
7/8/21,,y,353,Medium,plumbing,WC hose leaking      ,,7/8/21,0.5
7/8/21,,y,357,Medium,plumbing,wash basin drain is blocked ,,7/8/21,1
7/8/21,,,306,Medium,electrical,breaker has tripped,,7/8/21,0.2
7/8/21,,,340,Medium,AC,filter not clean ,,7/8/21,0.5
7/8/21,,,226,Medium,AC,filter not clean ,,7/8/21,0.6
7/8/21,,,301,Medium,electrical,breaker has tripped,,7/8/21,0.2
7/8/21,,,348,Medium,AC,Did not know how to operate AC,,7/8/21,0.2
7/8/21,,,Lobby ,Medium,plumbing,wash basin drain is blocked ,,7/8/21,1.5
7/8/21,,,SPA,Medium,General,All SPA toilets and  bathrooms smell ,chemical sent was applied to all drains ,7/8/21,1
7/8/21,,,246,Medium,General,TV setup box issue ,,7/8/21,1
7/8/21,,,332,Medium,General,"TV isnot working, problem with wiring",,7/8/21,0.5
7/8/21,,,223,Medium,AC,actuator was removed ,,7/8/21,1.5
7/9/21,,,SPA,Medium,plumbing ,wash basin drain is blocked,,7/9/21,1
7/9/21,,y,253,Medium,RMS,Card holder not responding,,7/9/21,0.3
7/9/21,,,Huawie entrance ,Medium,electrical,Sliding door was faulty  ,,7/9/21,0.2
7/9/21,,,225,Medium,General,soap holder loose ,,7/9/21,0.3
7/9/21,,,Dubliner,Medium,electrical,Changing 6 lights ,,7/9/21,1
7/9/21,,,346,Medium,General,TV setup box issue,,7/9/21,1.5
7/9/21,,,Nawroz ,Medium,electrical,one of the switch plugs needs changing,,7/9/21,0.5
7/9/21,,,304,Medium,AC,Actuator was not fully in place ,,7/9/21,1
7/10/21,,,306,Medium,AC,filter not clean,,7/10/21,0.6
7/10/21,,y,256,Medium,civil,Needed painting,,7/10/21,2.5
7/10/21,,,222,Medium,electrical,standing lamp not working,,7/10/21,1.5
7/10/21,,,140,Medium,General,TV setup box issue,,7/10/21,1.5
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
